#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Shared prosperity and energy use per capita 2015-2020
#Time span: 2015-2020
#----------------------------------------------------------------
#Variable: The annualized growth rate in the average consumption or income per capita of the poorest 40 percent (the bottom 40) of the population in a country.
#Source: World Bank; "Shared Prosperity: Monitoring Inclusive Growth"
#Source link: https://www.worldbank.org/en/topic/poverty/brief/global-database-of-shared-prosperity
#Data accessed: 2024-04-15
#----------------------------------------------------------------
#Variable: Energy use per capita (GJ/person)
#Source: Hannah Ritchie; Max Roser and Pablo Rosado (2022) - "Energy". Published online at OurWorldInData.org. Retrieved from: https://ourworldindata.org/energy [Online Resource]
#Source link: https://ourworldindata.org/energy
#Data accessed: 2023-09-15#Description: Data for energy use per capita downloaded from Our World In Data (OWID) chart titled "Energy use per person; 2022." Our World In Data (OWID) reports primary
 energy consumption in terawatthours (TWh). Conversion factor: 1 terawatthour = 0.0036 exajoule. Primary energy is the raw; untransformed energy that is harvested from a 
natural source. In energy accounting; primary energy is the form that is first accounted for in a statistical energy balance; before any transformation to secondary or 
tertiary forms of energy. OWID's principal sources are the Energy Institute Statistical Review of World Energy (2023) and the U.S. Energy Information Administration's 
international datasets (see links below). See the OWID source for their complete methodology for combining sources. Countries are grouped by continent using the World 
Bank's classification system
#Additional links: Energy Institute: 2023 Statistical Review of World Energy: https://www.energyinst.org/statistical-review;EIA: https://www.eia.gov/international/data/worldl;World Bank classification system: https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groupsl;Energy conversion: https://www.onlineconversion.com/energy.htm
#================================================================
﻿Entity,Continent,Year,Energy use per capita (GJ),Annualized growth of energy use per capita (%),Annualized growth in mean consumption or income per capita bottom 40
Estonia,Europe,2020,159.185808,-3.262948452,6.626666546
Finland,Europe,2015,216.0827172,-1.15465888,1.381054044
Finland,Europe,2016,218.8630692,-1.15465888,1.381054044
Finland,Europe,2017,213.8609376,-1.15465888,1.381054044
Finland,Europe,2018,217.9013904,-1.15465888,1.381054044
Finland,Europe,2019,213.1899048,-1.15465888,1.381054044
Finland,Europe,2020,203.892408,-1.15465888,1.381054044
France,Europe,2015,158.1462972,-2.825967788,-0.106366195
France,Europe,2016,154.99422,-2.825967788,-0.106366195
France,Europe,2017,153.4801932,-2.825967788,-0.106366195
France,Europe,2018,156.0031308,-2.825967788,-0.106366195
France,Europe,2019,152.376426,-2.825967788,-0.106366195
France,Europe,2020,137.0282616,-2.825967788,-0.106366195
Gambia,Africa,2015,3.70389168,-2.525341181,-1.766151428
Gambia,Africa,2016,3.630489264,-2.525341181,-1.766151428
Gambia,Africa,2017,3.59362836,-2.525341181,-1.766151428
Gambia,Africa,2018,3.52348668,-2.525341181,-1.766151428
Gambia,Africa,2019,3.50160444,-2.525341181,-1.766151428
Gambia,Africa,2020,3.25924416,-2.525341181,-1.766151428
Georgia,Asia,2015,65.1178548,0.663997293,0.196228981
Georgia,Asia,2016,68.8294188,0.663997293,0.196228981
Georgia,Asia,2017,68.4208116,0.663997293,0.196228981
Georgia,Asia,2018,69.7802472,0.663997293,0.196228981
Georgia,Asia,2019,70.7736456,0.663997293,0.196228981
Georgia,Asia,2020,67.30866,0.663997293,0.196228981
Germany,Europe,2015,165.8407932,-2.124170842,2.137908697
Germany,Europe,2016,168.0327972,-2.124170842,2.137908697
Germany,Europe,2017,169.60644,-2.124170842,2.137908697
Germany,Europe,2018,164.8130616,-2.124170842,2.137908697
Germany,Europe,2019,160.0838856,-2.124170842,2.137908697
Germany,Europe,2020,148.959648,-2.124170842,2.137908697
Greece,Europe,2015,103.8438144,-1.798268695,4.204315662
Greece,Europe,2016,102.8018232,-1.798268695,4.204315662
Greece,Europe,2017,108.474786,-1.798268695,4.204315662
Greece,Europe,2018,109.7104428,-1.798268695,4.204315662
Greece,Europe,2019,107.8787124,-1.798268695,4.204315662
Greece,Europe,2020,94.8366828,-1.798268695,4.204315662
Honduras,South America,2015,19.583298,-1.482146627,0.997969747
Honduras,South America,2016,18.8721684,-1.482146627,0.997969747
Honduras,South America,2017,19.6422786,-1.482146627,0.997969747
Honduras,South America,2018,21.22831224,-1.482146627,0.997969747
Honduras,South America,2019,20.3060448,-1.482146627,0.997969747
Honduras,South America,2020,18.17441892,-1.482146627,0.997969747
Hungary,Europe,2015,91.8041256,1.685735503,6.811398983
Hungary,Europe,2016,93.7107828,1.685735503,6.811398983
Hungary,Europe,2017,99.035892,1.685735503,6.811398983
Hungary,Europe,2018,99.8663256,1.685735503,6.811398983
Hungary,Europe,2019,101.272338,1.685735503,6.811398983
Hungary,Europe,2020,99.8073144,1.685735503,6.811398983
Indonesia,Asia,2015,26.1608202,1.350543086,3.438021421
Indonesia,Asia,2016,25.963452,1.350543086,3.438021421
Indonesia,Asia,2017,26.5986828,1.350543086,3.438021421
Indonesia,Asia,2018,28.8968076,1.350543086,3.438021421
Indonesia,Asia,2019,30.5081262,1.350543086,3.438021421
Indonesia,Asia,2020,27.9757512,1.350543086,3.438021421
Iran,Asia,2015,120.8432664,2.889575572,-1.875308752
Iran,Asia,2016,124.4043828,2.889575572,-1.875308752
Iran,Asia,2017,127.210428,2.889575572,-1.875308752
Iran,Asia,2018,129.81924,2.889575572,-1.875308752
Iran,Asia,2019,135.4898952,2.889575572,-1.875308752
Iran,Asia,2020,139.341132,2.889575572,-1.875308752
Ireland,Europe,2015,134.187408,-0.898218197,5.931842327
Ireland,Europe,2016,138.6636336,-0.898218197,5.931842327
Ireland,Europe,2017,137.612448,-0.898218197,5.931842327
Ireland,Europe,2018,138.8656692,-0.898218197,5.931842327
Ireland,Europe,2019,137.77515,-0.898218197,5.931842327
Ireland,Europe,2020,128.2682232,-0.898218197,5.931842327
Israel,Asia,2015,123.935292,-1.088104504,3.688569069
Israel,Asia,2016,124.1107452,-1.088104504,3.688569069
Israel,Asia,2017,124.334316,-1.088104504,3.688569069
Israel,Asia,2018,124.1758548,-1.088104504,3.688569069
Israel,Asia,2019,126.3076452,-1.088104504,3.688569069
Israel,Asia,2020,117.3377124,-1.088104504,3.688569069
Italy,Europe,2015,108.464904,-1.621899164,2.190500498
Italy,Europe,2016,109.1001852,-1.621899164,2.190500498
Italy,Europe,2017,110.5798212,-1.621899164,2.190500498
Italy,Europe,2018,111.4460712,-1.621899164,2.190500498
Italy,Europe,2019,109.6706232,-1.621899164,2.190500498
Italy,Europe,2020,99.94968,-1.621899164,2.190500498
Kazakhstan,Asia,2015,129.620304,1.916454138,-0.298387706
Kazakhstan,Asia,2016,143.664408,1.916454138,-0.298387706
Kazakhstan,Asia,2017,152.665164,1.916454138,-0.298387706
Kazakhstan,Asia,2018,155.954088,1.916454138,-0.298387706
Kazakhstan,Asia,2019,156.255444,1.916454138,-0.298387706
Kazakhstan,Asia,2020,142.5261528,1.916454138,-0.298387706
Kenya,Africa,2015,6.88284972,-0.102561605,-1.184978
Kenya,Africa,2016,7.079715,-0.102561605,-1.184978
Kenya,Africa,2017,6.98276808,-0.102561605,-1.184978
Kenya,Africa,2018,7.37017884,-0.102561605,-1.184978
Kenya,Africa,2019,7.00682832,-0.102561605,-1.184978
Kenya,Africa,2020,6.84762624,-0.102561605,-1.184978
Kyrgyzstan,Asia,2015,39.9497904,-1.213785683,0.764166951
Kyrgyzstan,Asia,2016,40.0739688,-1.213785683,0.764166951
Kyrgyzstan,Asia,2017,40.806756,-1.213785683,0.764166951
Kyrgyzstan,Asia,2018,42.4043136,-1.213785683,0.764166951
Kyrgyzstan,Asia,2019,38.0956464,-1.213785683,0.764166951
Kyrgyzstan,Asia,2020,37.5834132,-1.213785683,0.764166951
Laos,Asia,2015,37.4597928,13.58329936,1.908216
Laos,Asia,2016,62.7543432,13.58329936,1.908216
Laos,Asia,2017,62.7215832,13.58329936,1.908216
Laos,Asia,2018,64.289952,13.58329936,1.908216
Laos,Asia,2019,65.7063756,13.58329936,1.908216
Laos,Asia,2020,70.81704,13.58329936,1.908216
Latvia,Europe,2015,75.4457832,0.546149035,5.988235474
Latvia,Europe,2016,81.1749744,0.546149035,5.988235474
Latvia,Europe,2017,90.196362,0.546149035,5.988235474
Latvia,Europe,2018,81.0237384,0.546149035,5.988235474
Latvia,Europe,2019,84.22092,0.546149035,5.988235474
Latvia,Europe,2020,77.5286424,0.546149035,5.988235474
Lithuania,Europe,2015,77.6484216,2.934298244,10.66135025
Lithuania,Europe,2016,79.9470828,2.934298244,10.66135025
Lithuania,Europe,2017,85.0866408,2.934298244,10.66135025
Lithuania,Europe,2018,88.6176216,2.934298244,10.66135025
Lithuania,Europe,2019,89.5432212,2.934298244,10.66135025
Lithuania,Europe,2020,89.7290712,2.934298244,10.66135025
Luxembourg,Europe,2015,272.07585,-3.197621599,4.485257626
Luxembourg,Europe,2016,262.024398,-3.197621599,4.485257626
Luxembourg,Europe,2017,267.785172,-3.197621599,4.485257626
Luxembourg,Europe,2018,274.956264,-3.197621599,4.485257626
Luxembourg,Europe,2019,274.58532,-3.197621599,4.485257626
Luxembourg,Europe,2020,231.270444,-3.197621599,4.485257626
Malawi,Africa,2015,2.042585172,-2.370179581,-2.956393957
Malawi,Africa,2016,2.09380284,-2.370179581,-2.956393957
Malawi,Africa,2017,2.100261852,-2.370179581,-2.956393957
Malawi,Africa,2018,1.95258564,-2.370179581,-2.956393957
Malawi,Africa,2019,1.93615128,-2.370179581,-2.956393957
Malawi,Africa,2020,1.81172646,-2.370179581,-2.956393957
Malaysia,Asia,2015,129.1608288,0.066445436,4.047426224
Malaysia,Asia,2016,133.918488,0.066445436,4.047426224
Malaysia,Asia,2017,133.7863932,0.066445436,4.047426224
Malaysia,Asia,2018,134.398908,0.066445436,4.047426224
Malaysia,Asia,2019,136.1646,0.066445436,4.047426224
Malaysia,Asia,2020,129.5905068,0.066445436,4.047426224
Malta,Europe,2015,230.8714452,2.360379762,3.211007595
Malta,Europe,2016,250.531002,2.360379762,3.211007595
Malta,Europe,2017,278.337924,2.360379762,3.211007595
Malta,Europe,2018,283.42575,2.360379762,3.211007595
Malta,Europe,2019,288.293436,2.360379762,3.211007595
Malta,Europe,2020,259.435656,2.360379762,3.211007595
Mexico,North America,2015,66.0069072,-2.226848706,0.701412201
Mexico,North America,2016,66.74031,-2.226848706,0.701412201
Mexico,North America,2017,67.2827328,-2.226848706,0.701412201
Mexico,North America,2018,65.7707328,-2.226848706,0.701412201
Mexico,North America,2019,64.451862,-2.226848706,0.701412201
Mexico,North America,2020,58.977648,-2.226848706,0.701412201
Moldova,Europe,2015,41.8225428,2.385537507,1.302001834
Moldova,Europe,2016,42.47352,2.385537507,1.302001834
Moldova,Europe,2017,43.7913432,2.385537507,1.302001834
Moldova,Europe,2018,47.266218,2.385537507,1.302001834
Moldova,Europe,2019,48.55995,2.385537507,1.302001834
Moldova,Europe,2020,47.054754,2.385537507,1.302001834
Mongolia,Asia,2015,69.0573456,1.215311252,2.482001543
Mongolia,Asia,2016,70.8915312,1.215311252,2.482001543
Mongolia,Asia,2017,75.7571832,1.215311252,2.482001543
Mongolia,Asia,2018,80.9502192,1.215311252,2.482001543
Mongolia,Asia,2019,87.405804,1.215311252,2.482001543
Mongolia,Asia,2020,73.3568976,1.215311252,2.482001543
Montenegro,Europe,2015,75.725622,-3.130344241,3.429210186
Montenegro,Europe,2016,75.7013328,-3.130344241,3.429210186
Montenegro,Europe,2017,70.7774832,-3.130344241,3.429210186
Montenegro,Europe,2018,78.6696336,-3.130344241,3.429210186
Montenegro,Europe,2019,73.65798,-3.130344241,3.429210186
Montenegro,Europe,2020,64.5924312,-3.130344241,3.429210186
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Netherlands,Europe,2015,218.4588828,-1.346691049,3.065234661
Netherlands,Europe,2016,219.39534,-1.346691049,3.065234661
Netherlands,Europe,2017,219.9636144,-1.346691049,3.065234661
Netherlands,Europe,2018,213.65316,-1.346691049,3.065234661
Netherlands,Europe,2019,211.8129624,-1.346691049,3.065234661
Netherlands,Europe,2020,204.139944,-1.346691049,3.065234661
North Macedonia,Europe,2015,50.3515728,-1.722325343,6.093197823
North Macedonia,Europe,2016,52.1868168,-1.722325343,6.093197823
North Macedonia,Europe,2017,50.1681636,-1.722325343,6.093197823
North Macedonia,Europe,2018,50.0797224,-1.722325343,6.093197823
North Macedonia,Europe,2019,52.8826536,-1.722325343,6.093197823
North Macedonia,Europe,2020,46.162296,-1.722325343,6.093197823
Norway,Europe,2015,380.089368,-0.322490796,-0.237690374
Norway,Europe,2016,382.30182,-0.322490796,-0.237690374
Norway,Europe,2017,381.244788,-0.322490796,-0.237690374
Norway,Europe,2018,372.809484,-0.322490796,-0.237690374
Norway,Europe,2019,347.013,-0.322490796,-0.237690374
Norway,Europe,2020,374.000004,-0.322490796,-0.237690374
Pakistan,Asia,2015,13.92189336,2.150055156,1.335853219
Pakistan,Asia,2016,14.98820976,2.150055156,1.335853219
Pakistan,Asia,2017,15.65578656,2.150055156,1.335853219
Pakistan,Asia,2018,15.9090066,2.150055156,1.335853219
Pakistan,Asia,2019,15.84041652,2.150055156,1.335853219
Pakistan,Asia,2020,15.4842912,2.150055156,1.335853219
Panama,North America,2015,102.2376384,-0.539964278,0.500623226
Panama,North America,2016,106.1805024,-0.539964278,0.500623226
Panama,North America,2017,112.2483168,-0.539964278,0.500623226
Panama,North America,2018,112.5190908,-0.539964278,0.500623226
Panama,North America,2019,100.3518,-0.539964278,0.500623226
Panama,North America,2020,99.5070528,-0.539964278,0.500623226
Paraguay,South America,2015,79.8893496,-3.580530619,0.584385395
Paraguay,South America,2016,88.9880616,-3.580530619,0.584385395
Paraguay,South America,2017,84.368322,-3.580530619,0.584385395
Paraguay,South America,2018,83.3020452,-3.580530619,0.584385395
Paraguay,South America,2019,71.654112,-3.580530619,0.584385395
Paraguay,South America,2020,66.575214,-3.580530619,0.584385395
Peru,South America,2015,33.0168816,-1.822727112,0.38514322
Peru,South America,2016,34.5673044,-1.822727112,0.38514322
Peru,South America,2017,34.580232,-1.822727112,0.38514322
Peru,South America,2018,35.5958964,-1.822727112,0.38514322
Peru,South America,2019,35.8186752,-1.822727112,0.38514322
Peru,South America,2020,30.1155552,-1.822727112,0.38514322
Philippines,Asia,2015,15.5306322,1.138676957,2.982901096
Philippines,Asia,2016,16.66482372,1.138676957,2.982901096
Philippines,Asia,2017,17.96360256,1.138676957,2.982901096
Philippines,Asia,2018,18.1463184,1.138676957,2.982901096
Philippines,Asia,2019,18.3758076,1.138676957,2.982901096
Philippines,Asia,2020,16.43521824,1.138676957,2.982901096
Poland,Europe,2015,103.8652524,0.455206326,8.821954727
Poland,Europe,2016,108.441396,0.455206326,8.821954727
Poland,Europe,2017,112.6635192,0.455206326,8.821954727
Poland,Europe,2018,113.9802264,0.455206326,8.821954727
Poland,Europe,2019,110.8000764,0.455206326,8.821954727
Poland,Europe,2020,106.2508788,0.455206326,8.821954727
Portugal,Europe,2015,101.1458736,-1.704315843,4.503848076
Portugal,Europe,2016,108.5273172,-1.704315843,4.503848076
Portugal,Europe,2017,105.43365,-1.704315843,4.503848076
Portugal,Europe,2018,107.61615,-1.704315843,4.503848076
Portugal,Europe,2019,102.486816,-1.704315843,4.503848076
Portugal,Europe,2020,92.8154808,-1.704315843,4.503848076
Romania,Europe,2015,69.1683876,-0.224420506,15.29044533
Romania,Europe,2016,69.5658456,-0.224420506,15.29044533
Romania,Europe,2017,71.0898876,-0.224420506,15.29044533
Romania,Europe,2018,72.786924,-0.224420506,15.29044533
Romania,Europe,2019,71.4205692,-0.224420506,15.29044533
Romania,Europe,2020,68.3957232,-0.224420506,15.29044533
Russia,Europe,2015,197.347878,0.231217712,0.653003991
Russia,Europe,2016,200.7692856,0.231217712,0.653003991
Russia,Europe,2017,201.5088624,0.231217712,0.653003991
Russia,Europe,2018,208.6497288,0.231217712,0.653003991
Russia,Europe,2019,206.95032,0.231217712,0.653003991
Russia,Europe,2020,199.6399692,0.231217712,0.653003991
Serbia,Europe,2015,89.873316,0.979758058,13.39545345
Serbia,Europe,2016,92.3944356,0.979758058,13.39545345
Serbia,Europe,2017,94.8925476,0.979758058,13.39545345
Serbia,Europe,2018,95.3332236,0.979758058,13.39545345
Serbia,Europe,2019,95.7700332,0.979758058,13.39545345
Serbia,Europe,2020,94.3631424,0.979758058,13.39545345
Seychelles,Africa,2015,164.5027308,-0.887442153,3.545799017
Seychelles,Africa,2016,180.869328,-0.887442153,3.545799017
Seychelles,Africa,2017,186.1935768,-0.887442153,3.545799017
Seychelles,Africa,2018,163.1074932,-0.887442153,3.545799017
Seychelles,Africa,2019,164.79765,-0.887442153,3.545799017
Seychelles,Africa,2020,157.331808,-0.887442153,3.545799017
Slovakia,Europe,2015,121.443444,-0.322795399,4.473978996
Slovakia,Europe,2016,122.4548424,-0.322795399,4.473978996
Slovakia,Europe,2017,128.789676,-0.322795399,4.473978996
Slovakia,Europe,2018,126.4359096,-0.322795399,4.473978996
Slovakia,Europe,2019,122.014008,-0.322795399,4.473978996
Slovakia,Europe,2020,119.495988,-0.322795399,4.473978996
Slovenia,Europe,2015,129.454974,0.322252636,4.538197994
Slovenia,Europe,2016,137.7601452,0.322252636,4.538197994
Slovenia,Europe,2017,138.6867528,0.322252636,4.538197994
Slovenia,Europe,2018,140.996574,0.322252636,4.538197994
Slovenia,Europe,2019,136.461312,0.322252636,4.538197994
Slovenia,Europe,2020,131.5543212,0.322252636,4.538197994
Spain,Europe,2015,122.112864,-2.173155839,2.676741123
Spain,Europe,2016,123.16545,-2.173155839,2.676741123
Spain,Europe,2017,124.2739548,-2.173155839,2.676741123
Spain,Europe,2018,125.9506548,-2.173155839,2.676741123
Spain,Europe,2019,121.5535068,-2.173155839,2.676741123
Spain,Europe,2020,109.408644,-2.173155839,2.676741123
